date,sp500,sp500ret
20010116,1326.65,0.006319
20010117,1329.47,0.002126
20010118,1347.97,0.013915
20010119,1342.54,-0.004028
20010122,1342.9,0.000268
20010123,1360.4,0.013032
20010124,1364.3,0.002867
20010125,1357.51,-0.004977
20010126,1354.95,-0.001886
20010129,1364.17,0.006805
20010130,1373.73,0.007008
20010131,1366.01,-0.00562
20010201,1373.47,0.005461
20010202,1349.47,-0.017474
20010205,1354.31,0.003587
20010206,1352.26,-0.001514
20010207,1340.89,-0.008408
20010208,1332.53,-0.006235
20010209,1314.76,-0.013336
20010212,1330.31,0.011827
20010213,1318.8,-0.008652
20010214,1315.92,-0.002184
20010215,1326.61,0.008124
20010216,1301.53,-0.018905
20010220,1278.94,-0.017357
20010221,1255.27,-0.018508
20010222,1252.82,-0.001952
20010223,1245.86,-0.005555
20010226,1267.65,0.01749
20010227,1257.94,-0.00766
20010228,1239.94,-0.014309
20010301,1241.23,0.00104
20010302,1234.18,-0.00568
20010305,1241.41,0.005858
20010306,1253.8,0.009981
20010307,1261.89,0.006452
20010308,1264.74,0.002259
20010309,1233.42,-0.024764
20010312,1180.16,-0.043181
20010313,1197.66,0.014829
20010314,1166.71,-0.025842
20010315,1173.56,0.005871
20010316,1150.53,-0.019624
20010319,1170.81,0.017627
20010320,1142.62,-0.024077
20010321,1122.14,-0.017924
20010322,1117.58,-0.004064
20010323,1139.83,0.019909
20010326,1152.69,0.011282
20010327,1182.17,0.025575
20010328,1153.29,-0.02443
20010329,1147.95,-0.00463
20010330,1160.33,0.010784
20010402,1145.87,-0.012462
20010403,1106.46,-0.034393
20010404,1103.25,-0.002901
20010405,1151.44,0.04368
20010406,1128.43,-0.019984
20010409,1137.59,0.008117
20010410,1168.38,0.027066
20010411,1165.89,-0.002131
20010412,1183.5,0.015104
20010416,1179.68,-0.003228
20010417,1191.81,0.010282
20010418,1238.16,0.03889
20010419,1253.7,0.012551
20010420,1242.98,-0.008551
20010423,1224.36,-0.01498
20010424,1209.47,-0.012161
20010425,1228.75,0.015941
20010426,1234.52,0.004696
20010427,1253.05,0.01501
20010430,1249.46,-0.002865
20010501,1266.44,0.01359
20010502,1267.43,0.000782
20010503,1248.58,-0.014873
20010504,1266.61,0.01444
20010507,1263.51,-0.002447
20010508,1261.2,-0.001828
20010509,1255.54,-0.004488
20010510,1255.18,-0.000287
20010511,1245.67,-0.007577
20010514,1248.92,0.002609
20010515,1249.44,0.000416
20010516,1284.99,0.028453
20010517,1288.49,0.002724
20010518,1291.96,0.002693
20010521,1312.83,0.016154
20010522,1309.38,-0.002628
20010523,1289.05,-0.015526
20010524,1293.17,0.003196
20010525,1277.89,-0.011816
20010529,1267.93,-0.007794
20010530,1248.08,-0.015655
20010531,1255.82,0.006202
20010601,1260.67,0.003862
20010604,1267.11,0.005108
20010605,1283.57,0.01299
20010606,1270.03,-0.010549
20010607,1276.96,0.005457
20010608,1264.96,-0.009397
20010611,1254.39,-0.008356
20010612,1255.85,0.001164
20010613,1241.6,-0.011347
20010614,1219.87,-0.017502
20010615,1214.36,-0.004517
20010618,1208.43,-0.004883
20010619,1212.58,0.003434
20010620,1223.14,0.008709
20010621,1237.04,0.011364
20010622,1225.35,-0.00945
20010625,1218.6,-0.005509
20010626,1216.76,-0.00151
20010627,1211.07,-0.004676
20010628,1226.2,0.012493
20010629,1224.42,-0.001452
20010702,1236.71,0.010037
20010703,1234.45,-0.001827
20010705,1219.24,-0.012321
20010706,1190.59,-0.023498
20010709,1198.78,0.006879
20010710,1181.52,-0.014398
20010711,1180.18,-0.001134
20010712,1208.14,0.023691
20010713,1215.68,0.006241
20010716,1202.45,-0.010883
20010717,1214.44,0.009971
20010718,1207.71,-0.005542
20010719,1215.02,0.006053
20010720,1210.85,-0.003432
20010723,1191.03,-0.016369
20010724,1171.65,-0.016272
20010725,1190.49,0.01608
20010726,1202.93,0.010449
20010727,1205.82,0.002402
20010730,1204.52,-0.001078
20010731,1211.23,0.005571
20010801,1215.93,0.00388
20010802,1220.75,0.003964
20010803,1214.35,-0.005243
20010806,1200.48,-0.011422
20010807,1204.4,0.003265
20010808,1183.53,-0.017328
20010809,1183.43,-0.000084
20010810,1190.16,0.005687
20010813,1191.29,0.000949
20010814,1186.73,-0.003828
20010815,1178.02,-0.007339
20010816,1181.66,0.00309
20010817,1161.97,-0.016663
20010820,1171.41,0.008124
20010821,1157.26,-0.012079
20010822,1165.31,0.006956
20010823,1162.09,-0.002763
20010824,1184.93,0.019654
20010827,1179.21,-0.004827
20010828,1161.51,-0.01501
20010829,1148.6,-0.011115
20010830,1129.03,-0.017038
20010831,1133.58,0.00403
20010904,1132.94,-0.000565
20010905,1131.74,-0.001059
20010906,1106.4,-0.02239
20010907,1085.78,-0.018637
20010910,1092.54,0.006226
20010917,1038.77,-0.049216
20010918,1032.74,-0.005805
20010919,1016.1,-0.016112
20010920,984.54,-0.03106
20010921,965.8,-0.019034
20010924,1003.45,0.038983
20010925,1012.27,0.00879
20010926,1007.04,-0.005167
20010927,1018.61,0.011489
20010928,1040.94,0.021922
20011001,1038.55,-0.002296
20011002,1051.33,0.012306
20011003,1072.28,0.019927
20011004,1069.63,-0.002471
20011005,1071.38,0.001636
20011008,1062.44,-0.008344
20011009,1056.75,-0.005356
20011010,1080.99,0.022938
20011011,1097.43,0.015208
20011012,1091.65,-0.005267
20011015,1089.98,-0.00153
20011016,1097.54,0.006936
20011017,1077.09,-0.018633
20011018,1068.61,-0.007873
20011019,1073.48,0.004557
20011022,1089.9,0.015296
20011023,1084.78,-0.004698
20011024,1085.2,0.000387
20011025,1100.09,0.013721
20011026,1104.61,0.004109
20011029,1078.3,-0.023818
20011030,1059.79,-0.017166
20011031,1059.78,-0.000009
20011101,1084.1,0.022948
20011102,1087.2,0.00286
20011105,1102.84,0.014386
20011106,1118.86,0.014526
20011107,1115.8,-0.002735
20011108,1118.54,0.002456
20011109,1120.31,0.001582
20011112,1118.33,-0.001767
20011113,1139.09,0.018563
20011114,1141.21,0.001861
20011115,1142.24,0.000903
20011116,1138.65,-0.003143
20011119,1151.06,0.010899
20011120,1142.66,-0.007298
20011121,1137.03,-0.004927
20011123,1150.34,0.011706
20011126,1157.42,0.006155
20011127,1149.5,-0.006843
20011128,1128.52,-0.018251
20011129,1140.2,0.01035
20011130,1139.45,-0.000658
20011203,1129.9,-0.008381
20011204,1144.8,0.013187
20011205,1170.35,0.022318
20011206,1167.1,-0.002777
20011207,1158.31,-0.007531
20011210,1139.93,-0.015868
20011211,1136.76,-0.002781
20011212,1137.07,0.000273
20011213,1119.38,-0.015558
20011214,1123.09,0.003314
20011217,1134.36,0.010035
20011218,1142.92,0.007546
20011219,1149.56,0.00581
20011220,1139.93,-0.008377
20011221,1144.89,0.004351
20011224,1144.65,-0.00021
20011226,1149.37,0.004124
20011227,1157.13,0.006752
20011228,1161.02,0.003362
20011231,1148.08,-0.011145
