ticker,date,price
002044.SZ,2014-07-25,1.87
002044.SZ,2014-07-28,1.89
002044.SZ,2014-07-29,1.93
002044.SZ,2014-07-30,1.94
002044.SZ,2014-07-31,2.0
002044.SZ,2014-08-01,2.03
002044.SZ,2014-08-04,2.09
002044.SZ,2014-08-05,2.16
002044.SZ,2014-08-06,2.15
002044.SZ,2014-08-07,2.11
002044.SZ,2014-08-08,2.14
002044.SZ,2014-08-11,2.14
002044.SZ,2014-08-12,2.13
002044.SZ,2014-08-13,2.11
002044.SZ,2014-08-14,2.12
002044.SZ,2014-08-15,2.14
002044.SZ,2014-08-18,2.18
002044.SZ,2014-08-19,2.17
002044.SZ,2014-08-20,2.14
002044.SZ,2014-08-21,2.15
002044.SZ,2014-08-22,2.15
002044.SZ,2014-08-25,2.14
002044.SZ,2014-08-26,2.06
002044.SZ,2014-08-27,2.08
002044.SZ,2014-08-28,2.05
002044.SZ,2014-08-29,2.07
002044.SZ,2014-09-01,2.14
002044.SZ,2014-09-02,2.18
002044.SZ,2014-09-03,2.29
002044.SZ,2014-09-04,2.31
002044.SZ,2014-09-05,2.36
002044.SZ,2014-09-08,2.36
002044.SZ,2014-09-09,2.35
002044.SZ,2014-09-10,2.56
002044.SZ,2014-09-11,2.51
002044.SZ,2014-09-12,2.53
002044.SZ,2014-09-15,2.55
002044.SZ,2014-09-16,2.45
002044.SZ,2014-09-17,2.54
002044.SZ,2014-09-18,2.53
002044.SZ,2014-09-19,2.68
002044.SZ,2014-09-22,2.67
002044.SZ,2014-09-23,2.87
002044.SZ,2014-09-24,2.89
002044.SZ,2014-09-25,2.88
002044.SZ,2014-09-26,2.88
002044.SZ,2014-09-29,2.81
002044.SZ,2014-09-30,2.81
002044.SZ,2014-10-01,2.81
002044.SZ,2014-10-02,2.81
002044.SZ,2014-10-03,2.81
002044.SZ,2014-10-06,2.81
002044.SZ,2014-10-07,2.81
002044.SZ,2014-10-08,2.81
002044.SZ,2014-10-09,2.81
002044.SZ,2014-10-10,2.81
002044.SZ,2014-10-13,2.81
002044.SZ,2014-10-14,2.81
002044.SZ,2014-10-15,2.81
002044.SZ,2014-10-16,2.81
002044.SZ,2014-10-17,2.81
002044.SZ,2014-10-20,2.81
002044.SZ,2014-10-21,2.81
002044.SZ,2014-10-22,2.81
002044.SZ,2014-10-23,2.81
002044.SZ,2014-10-24,2.81
002044.SZ,2014-10-27,2.81
002044.SZ,2014-10-28,2.81
002044.SZ,2014-10-29,2.81
002044.SZ,2014-10-30,2.81
002044.SZ,2014-10-31,2.81
002044.SZ,2014-11-03,2.81
002044.SZ,2014-11-04,2.81
002044.SZ,2014-11-05,2.81
002044.SZ,2014-11-06,2.81
002044.SZ,2014-11-07,2.81
002044.SZ,2014-11-10,2.81
002044.SZ,2014-11-11,2.81
002044.SZ,2014-11-12,2.81
002044.SZ,2014-11-13,2.81
